epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0298,0.97612,1.89609,9.09155,1.04067,0.94082,0.15219,0.22482,0.17041,0.94082,0.15219,0.23264,0.15557,1.2526,1.93061,13.9999,1.40613,0.000361075,0.000361075,0.000361075
2,30.3928,1.02394,1.31269,5.79654,1.11816,0.00694,0.36251,0.08035,0.05327,0.00703,0.39823,0.08065,0.03179,1.28275,2.63905,280.518,1.32233,0.000724167,0.000724167,0.000724167
3,49.6058,1.33487,2.0714,5.63851,1.35884,0.43048,0.22593,0.13908,0.08697,0.41946,0.19185,0.13387,0.08627,1.36655,2.53412,26.8053,1.57635,0.00107993,0.00107993,0.00107993
4,66.2313,1.51225,2.27591,5.55259,1.55732,0.54993,0.13665,0.04943,0.01994,0.5534,0.16149,0.04511,0.01606,1.96656,3.77462,899.943,2.51732,0.001078,0.001078,0.001078
5,82.881,1.69284,2.36895,5.48675,1.74575,0.00248,0.15045,0.00273,0.00093,0.00283,0.23275,0.00395,0.00108,2.06341,4.03156,109.504,2.32744,0.001067,0.001067,0.001067
6,99.4343,1.49261,2.40247,5.09656,1.48697,0.54731,0.07143,0.04698,0.01691,0.55741,0.07143,0.05398,0.01626,2.19971,4.24563,23.0531,3.18961,0.00105601,0.00105601,0.00105601
7,116.62,2.16339,2.51683,4.96983,1.96349,0.7915,0.02174,0.01583,0.00489,0.7915,0.02174,0.0225,0.00787,2.27476,2.52925,9.77293,2.15935,0.00104501,0.00104501,0.00104501
8,133.335,1.98709,2.31538,4.3604,1.77278,0.53288,0.04348,0.03619,0.01387,0.54292,0.05866,0.04232,0.01636,2.04719,2.68545,7.03094,2.33715,0.00103401,0.00103401,0.00103401
9,150.656,1.83434,1.76469,4.25469,1.66561,0.80657,0.04143,0.04607,0.01545,0.80952,0.04348,0.0545,0.01958,1.9543,2.23425,7.35718,1.97341,0.00102301,0.00102301,0.00102301
10,167.3,1.85461,1.8199,4.00985,1.83465,0.01911,0.62746,0.08942,0.02862,0.0175,0.55855,0.08091,0.02902,2.08456,2.18238,5.50161,2.12775,0.00101201,0.00101201,0.00101201
11,186.664,1.66063,2.18879,3.68676,1.63611,0.50739,0.0625,0.01495,0.0067,0.00647,0.43295,0.01635,0.0082,1.83627,2.36373,7.31207,1.9541,0.00100101,0.00100101,0.00100101
12,204.174,1.87356,1.93764,3.66559,1.81131,0.06055,0.22421,0.04592,0.01439,0.07381,0.26438,0.07374,0.03223,2.18183,2.13954,6.94297,2.26789,0.000990012,0.000990012,0.000990012
13,220.912,1.61147,1.63853,3.41805,1.55924,0.03051,0.32341,0.01895,0.00481,0.04858,0.32788,0.07876,0.02512,2.09646,2.20733,14.88,2.18282,0.000979013,0.000979013,0.000979013
14,237.587,1.45838,1.31842,3.17288,1.3351,0.73388,0.09921,0.12344,0.06932,0.73388,0.09921,0.14191,0.08986,1.87114,1.97344,4.07393,1.95889,0.000968014,0.000968014,0.000968014
15,254.317,1.60137,1.53333,3.40874,1.53032,0.55638,0.02174,0.04657,0.02977,0.55638,0.02174,0.04719,0.03449,2.0239,2.17176,8.47443,1.93749,0.000957015,0.000957015,0.000957015
16,271.092,1.64465,1.8612,3.40425,1.6606,0.56901,0.08213,0.05171,0.02072,0.59776,0.1099,0.08095,0.02571,2.0372,2.19387,3.84799,2.28004,0.000946016,0.000946016,0.000946016
17,287.887,1.46153,1.84745,2.84846,1.56722,0.33975,0.08213,0.04883,0.01929,0.3254,0.1099,0.07353,0.02294,1.92939,1.67347,3.63156,2.10181,0.000935018,0.000935018,0.000935018
18,304.497,1.47335,1.38622,2.78431,1.4844,0.32341,0.04987,0.07362,0.03181,0.46007,0.07128,0.11266,0.03611,1.76127,1.7271,3.46966,1.9185,0.000924019,0.000924019,0.000924019
19,321.308,1.80694,1.40732,2.94725,1.73623,0.33312,0.08413,0.08071,0.03405,0.35915,0.095,0.12813,0.04715,1.77099,1.92021,3.2928,2.04053,0.00091302,0.00091302,0.00091302
20,338.701,1.42013,1.35836,2.45107,1.52554,0.01294,0.24655,0.01224,0.00496,0.0121,0.22964,0.01217,0.00651,1.72839,1.97756,86.2464,1.82675,0.000902021,0.000902021,0.000902021
21,355.452,1.59939,1.72004,2.43697,1.756,0.34112,0.17823,0.19043,0.08551,0.28581,0.25748,0.21357,0.11468,1.71437,1.866,3.14386,1.75096,0.000891022,0.000891022,0.000891022
22,372.807,1.57196,1.48247,2.77691,1.7154,0.44882,0.20307,0.17853,0.09439,0.25463,0.2745,0.25819,0.10914,1.75569,1.77598,4.45355,2.01366,0.000880023,0.000880023,0.000880023
23,389.529,1.44786,1.2529,2.72892,1.44855,0.13902,0.2516,0.1772,0.08134,0.16148,0.32596,0.19861,0.09891,1.76757,1.83903,8.11194,1.97053,0.000869024,0.000869024,0.000869024
24,406.175,1.46162,1.46533,2.44595,1.47923,0.42972,0.15476,0.19678,0.08324,0.42972,0.15476,0.18501,0.09453,1.67672,1.81708,2.939,1.72576,0.000858025,0.000858025,0.000858025
25,422.821,1.36839,1.56762,2.51674,1.49568,0.6193,0.09127,0.11584,0.05601,0.13847,0.27571,0.15295,0.06834,1.76942,1.81759,2.9967,1.80844,0.000847026,0.000847026,0.000847026
26,439.75,1.42793,1.45455,2.39311,1.55924,0.44267,0.14872,0.14884,0.0744,0.18756,0.21599,0.18687,0.08582,1.76494,1.682,2.76443,1.82628,0.000836027,0.000836027,0.000836027
27,456.353,1.42615,1.20047,2.17083,1.48739,0.2078,0.17046,0.18019,0.08516,0.2078,0.17046,0.18621,0.0925,1.79248,1.64091,2.85186,1.76525,0.000825029,0.000825029,0.000825029
28,473.1,1.2439,1.27695,2.00114,1.37496,0.28102,0.26557,0.19496,0.09774,0.30025,0.28731,0.22227,0.11929,1.71493,1.78913,2.91763,1.808,0.00081403,0.00081403,0.00081403
29,489.691,1.23024,1.04979,2.00551,1.36929,0.35275,0.2608,0.20105,0.10998,0.37076,0.28149,0.26188,0.14419,1.70561,1.58353,2.94458,1.81997,0.000803031,0.000803031,0.000803031
30,506.38,1.31011,1.31934,2.2141,1.34477,0.1633,0.25612,0.18756,0.09487,0.32149,0.22518,0.24064,0.11848,1.69018,2.03902,3.26103,1.75062,0.000792032,0.000792032,0.000792032
31,523.087,1.42155,1.51822,2.19018,1.5651,0.42401,0.21884,0.21287,0.11698,0.41861,0.25026,0.24385,0.15502,1.64237,1.90905,3.0613,1.73854,0.000781033,0.000781033,0.000781033
32,539.842,1.45218,1.33035,2.13681,1.51104,0.35825,0.22949,0.20447,0.10152,0.42747,0.24036,0.24223,0.14063,1.72382,1.56395,2.57099,1.82362,0.000770034,0.000770034,0.000770034
33,556.834,1.342,1.12617,2.12033,1.46674,0.34031,0.31977,0.19645,0.09875,0.38436,0.33064,0.23529,0.13026,1.70704,1.49229,2.52109,1.9517,0.000759035,0.000759035,0.000759035
34,573.427,1.18771,1.24998,1.83974,1.32655,0.33355,0.33064,0.21823,0.12091,0.35337,0.33064,0.24208,0.1474,1.76427,1.61105,2.49882,1.99158,0.000748036,0.000748036,0.000748036
35,590.015,1.35294,1.24276,1.92636,1.45365,0.53551,0.20365,0.21734,0.11236,0.1737,0.39585,0.23899,0.13805,1.64683,1.56323,2.25103,1.79057,0.000737037,0.000737037,0.000737037
36,606.762,1.51584,1.19995,1.95052,1.63013,0.28788,0.27477,0.23626,0.11847,0.34043,0.29682,0.28893,0.15944,1.71247,1.52983,2.15935,1.81568,0.000726038,0.000726038,0.000726038
37,623.326,1.32803,1.23061,2.04855,1.43706,0.30279,0.25525,0.26796,0.14461,0.29407,0.31828,0.28404,0.17594,1.70621,1.60321,2.24753,1.80931,0.00071504,0.00071504,0.00071504
38,643.102,1.14643,1.07095,1.75179,1.19073,0.62365,0.22073,0.26839,0.14171,0.62365,0.22073,0.29138,0.17538,1.68189,1.65229,2.40306,1.8139,0.000704041,0.000704041,0.000704041
39,660.3,1.22936,0.95705,1.72884,1.24391,0.56073,0.22073,0.28008,0.14468,0.56073,0.22073,0.2878,0.17581,1.68003,1.65792,2.32495,1.84442,0.000693042,0.000693042,0.000693042
40,679.601,1.07627,1.11349,1.66229,1.18211,0.44427,0.20035,0.24793,0.14189,0.48797,0.21122,0.27676,0.17505,1.63679,1.68898,2.15624,1.71985,0.000682043,0.000682043,0.000682043
41,696.998,1.24065,1.23296,1.8366,1.42274,0.67739,0.23485,0.29131,0.16386,0.56896,0.28248,0.30698,0.18952,1.64466,1.69522,2.11195,1.71284,0.000671044,0.000671044,0.000671044
42,716.395,1.2173,1.12496,1.87336,1.37979,0.4011,0.26367,0.26983,0.15656,0.42653,0.28541,0.29619,0.1835,1.66217,1.70719,2.16957,1.77475,0.000660045,0.000660045,0.000660045
43,733.046,1.29526,1.18814,1.847,1.43973,0.43922,0.32018,0.28277,0.16021,0.43858,0.32039,0.31317,0.1993,1.68064,1.74178,2.22075,1.91095,0.000649046,0.000649046,0.000649046
44,753.163,1.17781,1.10908,1.68069,1.2545,0.26558,0.36325,0.24491,0.13477,0.2813,0.35977,0.27015,0.17033,1.6008,1.54005,2.50195,1.85573,0.000638047,0.000638047,0.000638047
45,770.006,1.1823,0.97201,1.84913,1.38686,0.26167,0.38952,0.23149,0.13339,0.27155,0.36843,0.25557,0.16981,1.53485,1.47435,2.33957,1.72217,0.000627048,0.000627048,0.000627048
